,id,imdbid,rating,title,year
0,8040,392728,0,Roundhay Garden Scene,1888
1,5433,3,0,Pauvre Pierrot,1892
2,6200,132134,0,"Execution of Mary, Queen of Scots, The",1895
3,5444,14,0,Tables Turned on the Gardener,1895
4,5406,131,0,Une nuit terrible,1896
5,4982,91,0,"House of the Devil, The",1896
6,5445,223341,0,La fee aux choux,1896
7,6199,12,0,"Arrival of a Train, The",1896
8,5410,211,0,"Astronomer&#39;s Dream; or, The Man in the Moon, The",1898
9,4978,135696,0,Four Heads Are Better Than One,1898
10,5411,224240,0,"Temptation of St. Anthony, The",1898
11,4994,246,0,A Turn of the Century Illusionist,1899
12,5914,230,3,Cinderella,1899
13,4271,300,0,"Enchanted Drawing, The",1900
14,5069,377995,0,Grandma Threading Her Needle,1900
15,4346,306,0,Hamlet ( Le Duel d&#39;Hamlet),1900
16,5438,313,0,Let Me Dream Again,1900
17,5446,227438,0,"Doctor and the Monkey, The",1900
18,5072,230746,0,"Searching Ruins on Broadway, Galveston, for Dead Bodies",1900
19,4345,257654,0,Explosion of a Motor Car (a.k.a The Dlights of Automobiling),1900
20,1594,291476,0,Sherlock Holmes Baffled,1900
21,4344,272,0,As Seen Through A Telescope (a.k.a The Professor and His Field Glass),1900
22,4993,135453,0,"One-Man Band, The",1900
23,4343,304,0,Grandma&#39;s Reading Glass,1900
24,4995,359,0,L&#39;homme a la tete en caoutchouc,1901
25,5437,258104,0,Reve et realite,1901
26,5500,131934,0,Bluebeard,1901
27,1252,417,0,Le voyage dans la lune,1902
28,5432,367177,0,"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",1902
29,5431,229024,0,Gulliver&#39;s Travels,1902
30,5443,413,0,Mephistopheles&#39; School of Magic,1902
31,5064,223755,0,"Monster, The",1903
32,1319,439,0,"Great Train Robbery, The",1903
33,5063,455,0,"Music Lover, The",1903
34,5683,189498,0,"Enchanted Well, The",1903
35,5002,135180,0,"Infernal Boiling Pot, The",1903
36,5601,135631,0,"Untamable Whiskers, The",1904
37,5404,135179,0,"Living Playing Cards, The",1904
38,6135,499,0,Le voyage a travers l&#39;impossible,1904
39,5224,215664,0,"Cook in Trouble, The",1904
40,5003,135690,0,"Scheming Gambler&#39;s Paradise, The",1905
41,5602,215575,0,"Black Imp, The",1905
